code	sub_of	prefix	name	old_id	source_note
X-01		X	งานเพิ่มเติม	WP-000	เดิม: WP-000 · ใหม่ (Vol.4)
X-01-01	X-01	X	งานตกหล่น	WP-378	เดิม: WP-378 · ใหม่ (Vol.4)
X-01-02	X-01	X	งานภายในองค์กร	WP-379	เดิม: WP-379 · ใหม่ (Vol.4)
PR-01		PR	งานเตรียมพื้นที่ก่อนการก่อสร้าง	WP-263	เดิม: WP-263
PR-01-01	PR-01	PR	งานหาพิกัดและระดับพื้น (พื้นดินเดิม หัวเสาเข็ม) พร้อมทำทำหลักชั่วคราว	WP-001	เดิม: WP-001
PR-01-02	PR-01	PR	งานทำสโตร์ชั่วคราว	WP-307	เดิม: WP-307
PR-01-03	PR-01	PR	งานติดตั้งป้ายโครงการก่อสร้าง	WP-004	เดิม: WP-004
PR-01-04	PR-01	PR	งานทำรั้วชั่วคราว	WP-005	เดิม: WP-005
PR-01-05	PR-01	PR	งานตีฝังระดับและกริตไลน์	WP-006	เดิม: WP-006
PR-01-06	PR-01	PR	งานจัดหาห้องน้ำชั่วคราว	WP-421	เดิม: WP-421
PR-01-07	PR-01	PR	งานจัดหาลานจอดรถชั่วคราว	WP-422	เดิม: WP-422
PR-01-08	PR-01	PR	งานจัดหาลานปฎิบัติงานชั่วคราว	WP-423	เดิม: WP-423
PR-01-09	PR-01	PR	งานจัดหาที่พักคนงานชั่วคราว	WP-309	เดิม: WP-309
PR-01-10	PR-01	PR	งานติดตั้งเต้นท์ทำงาน	WP-308	เดิม: WP-308 · ใหม่ (Vol.4)
PR-02		PR	งานติดตั้งเต้นท์ทำงาน	WP-420	เดิม: WP-420 · ใหม่ (Vol.4)
PR-03		PR	งานเตรียมงานระบบก่อนก่อสร้าง	WP-380	เดิม: WP-380 · ใหม่ (Vol.4)
PR-03-01	PR-03	PR	งานทำไฟฟ้าชั่วคราว	WP-002	เดิม: WP-002 · ใหม่ (Vol.4)
PR-03-02	PR-03	PR	งานทำประปาชั่วคราว	WP-003	เดิม: WP-003 · ใหม่ (Vol.4)
PR-03-03	PR-03	PR	งานติดตั้งกล้องวงจรปิด	WP-007	เดิม: WP-007 · ใหม่ (Vol.4)
PR-04		PR	งานเครื่องจักรใหญ่	WP-304	เดิม: WP-304
PR-04-01	PR-04	PR	งานปรับพื้นที่เตรียมงานก่อสร้าง	WP-424	เดิม: WP-424
PR-04-02	PR-04	PR	งานขุดฐานรากกำแพงกันดิน	WP-425	เดิม: WP-425
PR-04-03	PR-04	PR	งานขุดฐานรากอาคารภายใน	WP-375	เดิม: WP-375
PR-04-04	PR-04	PR	งานขุดฐานรากบ่อซึม	WP-020	เดิม: WP-020
PR-04-05	PR-04	PR	งานขุดฐานรากบ่อบำบัด	WP-376	เดิม: WP-376
PR-04-06	PR-04	PR	งานขุดฐานราก Tower	WP-377	เดิม: WP-377
PR-04-07	PR-04	PR	งานปรับระดับพื้นลานภายนอก	WP-378	เดิม: WP-378
EX-01		EX	งานติดตั้งกำแพงกันดิน	WP-426	เดิม: WP-426
EX-01-01	EX-01	EX	งานเจาะนำเสาเข็มกำแพงกันดิน	WP-427	เดิม: WP-427
EX-01-02	EX-01	EX	งานลงเสาเข็มฐานรากกำแพงกันดิน	WP-428	เดิม: WP-428
EX-01-03	EX-01	EX	งานตัดเสาเข็มฐานรากกำแพงกันดิน	WP-429	เดิม: WP-429
EX-01-04	EX-01	EX	งานหูช้างรับแผ่นกันดิน	WP-430	เดิม: WP-430
EX-01-05	EX-01	EX	งานติดตั้งผนังกันดิน	WP-431	เดิม: WP-431
EX-01-06	EX-01	EX	งานเหล็กเสริมฐานรากเสาเข็มกำแพงกันดิน	WP-432	เดิม: WP-432
EX-01-07	EX-01	EX	งานติดตั้งลูกปูนหนุนเหล็กฐานรากเสาเข็มกำแพงกันดิน	WP-469	เดิม: WP-469
EX-01-08	EX-01	EX	งานคอนกรีตฐานรากเสาเข็มกำแพงกันดิน	WP-433	เดิม: WP-433
S-01		S	งานลงเสาเข็มหกเหลี่ยม	WP-269	เดิม: WP-269
S-01-01	S-01	S	งานเจาะนำเสาเข็มลานโหลด ห้องถังน้ำดี ชุดถังบำบัด	WP-022	เดิม: WP-022
S-01-02	S-01	S	งานลงเสาเข็มลานโหลด	WP-031	เดิม: WP-031
S-01-03	S-01	S	งานลงเสาเข็มห้องถังน้ำดี	WP-032	เดิม: WP-032
S-01-04	S-01	S	งานลงเสาเข็มชุดถังบำบัด	WP-033	เดิม: WP-033
